text
"Cepat juga proses 🔥𝐊𝗨𝗦𝗨𝗠𝗔𝗧𝟎𝗧𝟎💥,ya secepat kilat"
"Bang bahas patung Budha bamiya yang pernah ada di Afghanistan tapi kemudian dihancurkan Taliban karna katanya itu sesat. Gue gak suka apa yang dilakukan Amerika di Afghanistan tapi gue juga gak suka dengan orang yang saat melihat berita keburukan Amerika di Afghanistan kemudian mereka mengatakan : taliban itu bukan teroris tapi pahlawan, lah terus kenapa mereka malah menghancurkan patung yang sudah ada lama sebelum organisasi kelompok teroris mereka ada, sebelum Amerika menginvasi negara mereka, sebelum Uni Soviet menginvasi negara mereka. Orang orang yang mengeluarkan komen seperti itu pasti cuman orang bodoh yang kurang informasi. Masih mending dengan kerajaan Mataram yang saat menyerap Bali ke kekuasaan mereka, rajanya masih toleransi. Padahal sebelum dihancurkan banyak negara negara yang menawarkan untuk membeli patung itu tapi tetap dihancurkan dengan iming iming ""kafir/sesat"" . Dan yang banyak bilang film film negara barat itu propaganda gue akui iya, karna banyak hal hal yang ditambahkan. Tapi bagian yang bukan propaganda itu adalah mereka seorang teroris. Gue muslim tapi gue gak dukung hal semacam itu"
Bang koi saya mau request jelasin tentang Alcubierre Drive dong
"Kok dari mahluk ber sel tunggal jadi manusia yg punya akal seperti ini menurut para ahli apa, masih belum nangkep mahluk sel tunggal tiba2 jadi hewan,walaupun katanya be revolusi cuma susah di cerna, kalo monyet berevolusi jadi gorila atau orang utan masih agak masuk akal, ada yg bisa jelasin simpel nya gak"
Pembawaan nya😩
oh.. saya tidak peduli
"ZAMAN KARBONIFERUS, BRO! 🔥🔥🔥<br>Bayangin dunia penuh rawa panas, oksigen 35%, kelabang 2 meter jalan di kaki lo, capung segede elang terbang di atas kepala, dan hutan bisa kebakar cuma karena batuk petir. Reptil pertama lahir di sini, dan semua batu bara yang lo pake sekarang? Itu sisa pesta hutan zaman ini.<br>Itu bukan zaman... itu MOSH PIT GEOLOGIS. 🤘🌍🔥"""
"CUIHHH, darat belum ada apa-apanya coy! Coba ke laut dan rasain—itu isinya preman purba. Hiu gigi gergaji,ikan punya plat baja ditubuh sama gigi kek gunting hidraulik,cumi-cumi bawa pelindung spiral,Ammonite yang terkenal karna cangkang spiralnya seukuran ban truk,kalajengking laut bisa ngusir lo dari rumah lo sendiri. Masuk laut tanpa izin? Langsung jadi camilan arkeolog. 💀🌊"
Sangat mengedukasi
👍🏻
AKU BOCIL DINO☝️
Gabut sore langsung ilang gara-gara buka P̶U̶L̶A̶U̶W̶I̶N̶.
Jadi keinget game Spore
"Dulu sering bosen, sekarang tiap hari rame gara-gara P͎U͎L͎A͎U͎W͎I͎N͎."
"Mainnya santai tapi bikin nagih, itulah P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽."
manap nih gw suka
Yang bikin beda ya atmosfer dari P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽.
"Tiap temen nanya tempat seru, gue langsung rekomendasiin P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟."
Itu tempat buat ngebuang duit dek😂
"Niatnya cuma coba, sekarang malah rutin buka P͎U͎L͎A͎U͎W͎I͎N͎."
"Cuma mau bilang, lo harus cobain 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 sekarang juga."
Bang bahas anime orb
"Gak ngerti lagi, main di 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 tuh bikin hari gue makin seru!"
Lagi suntuk kerjaan? Refresh dulu di P͎U͎L͎A͎U͎W͎I͎N͎.
"Kalau ditanya hiburan yang bikin relax, gue jawabnya ＰＵＬＡＵＷＩＮ."
Kadang gak sadar udah sejam lebih di P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟.
"Nggak pernah semudah ini buat cari hiburan, apalagi ada P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽."
"W lebih penasaran ama kehidupan di era Paleo sih, w penasaran banget ama kondisi bumi saat itu."
Lanjut sampai ke zaman manusia purba
"Coba bahas serangga purba seperti kelabang,capung,dan serangga-serangga purba raksasa lainnya nanti (sebagai bahan konten video mu)🤓👌"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1053"">17:33</a> LIPUTAN ANAK MUDA KORSEL LEBIH PILIH REBAHAN DI KOREA NOW 😂"
Bang gw suka banget pembahasan tentang hewa purba/prasejarah
KIRAIN MAU BAHAS INDIA PAKISTAN
"Terus kok bisa ada manusia bang? Asal usul nya dari mana, tolong jawab secara ilmiah"
Mantap bang untuk ilmu itu semangat 😂 👍
Wah menarik bang koi
Tetep KOK BISA GITUU  jika evolusi ini tanpa campur tangan tuhan
gas lanjutin sampe mesozoikum & kenzoikum
bahas synapsida dong bang yg banyak disalapahami sbg dinosaur
"Bahas lebih dalam lagi, teori big bang 😂"
"Oalaah, jadi bahkan simbiosis itu ada sebelum zaman dinooo<br>Keren abiiiis >.<"
8.25 Ohh jadi ini alasan sponsbob suka berburu ubur ubur
"Astaga, antek-antek nasa malah di up kelanjutannya.<br>Sudah gw bilang, awal mula kehidupan bumi itu ""JIN""."
NASA mulu yang disalahin😂
Buktinya apa?
"bang koi, request tentang reptil yg jadi nenek moyangnya mamalia"
Bang bahas bangsa nisnas bang.
"Bang coba bahas tentang asal mula penamaan benda atau tumbuhan gitu dong, contoh nya misal kaktus, siapa orang pertama yg namain pohon itu kaktus gitu😂"
Bang kalo boleh tau dapat video penjelasan yg bahasa Inggris itu dimana? Saya butuh untuk pendukung materi sekolah.<br>Saya guru
"Cerita pembahasan tentang pengetahuan sejarah begini (tentunya telah teruji secara ilmiah) seru banget loh, dibandingkan cerita horor/mistis/ghoib."
"Gua bingung, mereka(peneliti) mengetahui semua itu dari mana sedangkan manusia belum ada pada zaman tersebut, tapi manusia bisa memunculkan teori teori tersebut dari mana"
Ada teknologinya!
"Ada fosilnya bang, kalau fosilnya ditemukan semakin dalam berarti fosilnya semakin tua, intinya kalo lo nemu fosil di 500m bawah tanah dibanding nemu fosil 1km bawah tanah, berarti fosil 1km itu kemungkinan umurnya lebih tua dibanding fosil 500m"
coba bang evolusi dari buah buahan
permisi izin diskusi<br><br>batu bara kan tercipta dari fosil tumbuhan di periode silurian jauh sebelum dinosaurus hadir<br>apakah batu bara di pulau kalimantan dan beberapa pulau di indonesia lainnya terbentuk sejak zaman itu? tapi kenapa fosil dinosaurus tidak ditemukan di pulau pulau tersebut?<br>apakah batu bara yang ada di indonesia bukan dari zaman itu?<br><br>terimakasih😊
"Awal hewan tercipta ratusan juta tahun yang lalu adalah sponge dan ubur-ubur, inilah alasan kenapa SpongeBob dan ubur-ubur sangat sulit terpisahkan 🤭"
Bagaimana kalo Dinosaurus hanya mitos ?
"Jadi pengen nonton ulang Walking With Monsters weh habis nonton ini 😅<br><br><br>Btw bang Koi, dulu kan sampean udah pernah bahas 5 kepunahan massal yg pernah terjadi di Bumi. Klo aku boleh request nih, next mungkin bisa dibahas secara mendetail keknya salah satunya. Antara The Great Dying atau kepunahan Kapur-Tersier mungkin yg yaa bisa dibilang jadi peristiwa kepunahan massal yg paling terkenal 😁👍<br><br>Maksud aku disini soal runtutan peristiwa yg terjadi selama kepunahan massal tadi berlangsung, kayak ada bencana alam apa aja yg terjadi disana atau kondisi lingkungan dan ekosistem disana selama dan setelah kepunahan massal itu terjadi, cuma lebih detail aja gitu bahasannya."
"Misalkan dikutuk ngk bs mati trus bumi di restart dr awal lg,bueh milliaran tahun cm liatin gangga jir...😂"
Periode permian udah ada semut kah dan kalau ada <br>aku nak tahu bentuk ratu semut sekaligus buat video nya
Tidak skip iklan adalah jalan ninjaku membantu Chanel ini yg sangat mengedukasi ❤🔥🔥🔥🔥
ＧＡ Ｒ Ｕ ＤＡ ＨＯ ＫＩ_Pasti Jepe❤
bang jirai kei bang
ＧＡ Ｒ Ｕ ＤＡ ＨＯ ＫＩ..Terpopuler masakini❤
ＧＡ Ｒ Ｕ ＤＡ ＨＯ ＫＩterpopuler di Indonesia❤
<b>Setahuku menurut video yang pernah aku tonton kadar oksigen zaman purbakala itu lebih banyak daripada sekarang. Sehingga ukuran hewan masa purba jauh lebih besar daripada sekarang</b>
Ini serius gak ada yg minta bahas perang pakistan india?
"Menarik era sekarang bang, evolusinya makan duit rakyat bang"
suka banget kalo bahas beginian paling seneng klo berimajinasi😂
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=296"">4:56</a> ""menariX y??"" Kyk org d tmpt gw klo ngomong pake ""x"".<br><a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=510"">8:30</a> pantes Spongebob cinta pertamanya sm ubur². <a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=588"">9:48</a> pantes eono bakri mukany bikin boring."
Pusing ya
Bang tadi gw nonton video yang Lego <br>Coba bikin vidio kenapa org dewasa sekarang banyak yang suka mainan dari pada org tua dulu
Berart kemungkinan planet2 lain di tatasurya kita bisa aja berkembang jd ada mahluk hidupny jg kali yaa..
"Ada paradoks nya bang, bisa aja planet lain itu masih zaman zaman sel sel, jadi kalau diamatin dari sini gk keliatan."
"baru baru ini temukan sinyal adanya dimetil sulfida di planet K2-18B sejauh 124 tahun cahaya dari bumi,<br>dimetil sulfida dihasil dalam jumlah yang relatif besar itu cuma dari makhluk hidup seperti Fito plankton dan sangat langka di hasilkan dalam kondisi lain.<br>tapi ini tinggal pembuktian aja apakah itu dimetil sulfida apa bukan karena ini panjang gelombang cahaya yang di tangkap itu mirip, kalo beneran terbukti berarti kita gak hidup sendirian."
Konten jaman purba lagi<br>Kesukaanku
"Bumi aja dulunya adalah planet yang gak layak huni,berarti bener ada kemungkinan besar planet planet lain di luar sana entah berapa milyar tahun lagi bakal jadi kayak bumi yg di tinggali manusia juga."
Koi bahas hubungan diplomatik uni soviet RI era 1950-1960an dong
Bang bahas peperangan besar antar bangsa atau kerajaan besar di bagi dari pembagian wilayah benua.<br>Makasih dah dibacakan😎👦🤝
"Semacam zaman kerajaan/kekaisaran.Bukan perihal Perang Dunia 1,2,atau 3.Makasih !"
Koyy kira2 verren mudeng ga nih
I'm waiting for Adam and Eve to appear 🫡
Jadi keinget sama monster Hunter gen 1 2 jir
Pertanyaan di negara lain : apakah kita bisa membuat kehidupan di planet mars atau apakah kita bisa membangkitkan spesies hewan purba lagi<br><br>Sementara di negara Indonesia : Nabi Adam dulu atau dinosaurus dulu yah????
Bang request bahas. Sistem perdanganan pertama dan uang pertama gimana bang. Penasaran
bang koi coba bahas dong ttg hiu yang katanya lebih tua daripada pohon
Judulnya: DINO ternyata sebenernya ANAK BARU 😂
Mantp bng sejarah lagi 🤩
LANJUT BANG SAMPE MUNCULNYA MANUSIA ITU GIMANA PLEAASEE 😭😭😭
akhirnya dino lagi😊
Punya tambak vaname pasti untung besar
"Senang banget main di 𝗗𝗢𝗥𝗔𝟳𝟳, langsung dapat jakpot besar hari ini! 🐁"
"Tarik semua hasil kemenangan dari 𝗗𝗢𝗥𝗔𝟳𝟳, saatnya mewujudkan impian! 🉑"
Hasil dari 𝗗𝗢𝗥𝗔𝟳𝟳 membuktikan saya bisa beralih dari tukang sayur jadi bos supermarket. 🥂
"Berkat 𝗗𝗢𝗥𝗔𝟳𝟳 saya melesat, dari pegawai harian ke bos usaha. 🏗"
"Rekomendasi terbaik buat cari keberuntungan, cuma di 𝗗𝗢𝗥𝗔𝟳𝟳! 🦥"
"Berkat 𝗗𝗢𝗥𝗔𝟳𝟳 saya melesat, dari buruh tani ke bos agribisnis. 🚧"
"Sikat habis JP di 𝗗𝗢𝗥𝗔𝟳𝟳,auto kaya mendadak! 😕"
"Jika Anda menghargai efisiensi dan kemudahan penggunaan, 𝗗𝗢𝗥𝗔𝟳𝟳 layak dicoba. 😒"
"Lanjutin bang, Sampe ketemu era manusia modern 😁"
"Rezeki hari ini datang dari 𝗗𝗢𝗥𝗔𝟳𝟳, nggak nyangka! 🦛"
"Lo juga ngerasa gak, PULAUWIN kayak ngehantui tiap hari?"
Sumpah seru banget lanjut bg❤
"Sikat habis JP di 𝗗𝗢𝗥𝗔𝟳𝟳,auto kaya mendadak! 😕"
"Serius lo, PULAUWIN sampe masuk obrolan ibu-ibu arisan?"
"Gue udah coba ngabaikan P͎U͎L͎A͎U͎W͎I͎N͎, tapi kok makin sering muncul ya?"
absen sini
berarti klo pngn bumi bnyk oksigen dan bisa bkin beku lgi hrs perbynk ganggang supaya bisa menyerap efek rumah kaca sekrng
Lo juga ngerasa gak sih PULAUWIN muncul di mana-mana?
"ＰＵＬＡＵＷＩＮ kok kayak ada di mana-mana ya, meresap banget."
"Pulauwin ini bukan kaleng-kaleng sih, beneran meledak."
Meledak dosanya dek🎉
"Ngeri, sepupu gue yang baru SMP aja tau P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟."
BANG BAHAS SEJARAH DUNIA LAGI BANG 👏👏
nih guys situs cm88bets situs resmi tanpa seting seting admin gila
"Bang Koi,<br>pernah bahas LUCA ? Sekalian aja, mumpung masih membahas kehidupan purba."
Bng coba bahas suku inca dong
"Keinget 1cak pernah ada yg bahas ini jg, mantab lah"
"bang klo gua mau bertanya gini, keluar konteks. cmn masih kearah zaman prasejarh dngn oksigen yang banyak yg mendukung mahluk hidup menjadi seukuran gyganctic. mislnya Nabi Adam. ukurannya saat itukan klo menurut hadis ada di atas 20 meter hampir 30 meter. artinya, ga mngkin dong Adam hidup di jaman yg lumayan kesni atau dlm hitungan ribuan tahun.pasti Adam hidup di jaman di oksigen masih sngt bnyak. bisa ga kemungkinan nya adam hidup pada jaman jurassic? mengingat keadaan alam tsb sebenranya mndukung mahluk yg besar2 hidup.krna, jika Adam yg ukurannya hampir 30 meter, hidup berburu dan beternak, pasti mahluk atau binatang yg di makan Nabi Adam tsb pun pasti besar atau minimal ukurannya itu seperti kita manusia modern, dngn unggas2 seperti ayam dll. masuk akal ga bang kalo Nabi Adam ini hidup di jaman dmn mahluk2 jurassic masih hdup?"
Makhluk hidup pertama tung tung tung tung sahur dan balerina capucina
Bang bahas asal usul semua Ras manusia bang pliss
Oh ini alasannya SPONGEBOB suka nangkap UBUR-UBUR 😅😅😅
Nih P͎U͎L͎A͎U͎W͎I͎N͎ kayak punya sihir tersendiri ya?
Tim yg nonton sampe habis 😁
Wew ending lama lagi
Aku ganteng gak?
teringat zaman main spore 😂
Binatang manusia bisa dominan berapa ribu tahun ya?  😅
fix.. telor sama ayam ternyata duluan telor
Lanjutkan terus kak koyy masih banyak itu sejarah² nya
Iya suka aja bahas sejarah² apalagi sambil tiduran dikasur😂
"bukannya jaman-jaman yang disebut belum ada sejarahnya ya? soalnya masih berupa teori dan belum ada tulisan manusia yang ditemukan di jaman itu, jadinya disebut pra-sejarah gak sih? ntahlah, menurut gw pembahasan jaman-jaman itu gak bisa disebut sejarah sih.."
Serangga adalah makhluk hidup dengan mode extreme yg kita tahu 🤔 sepertinya dulu pun sama
"Bang pls bahas tentang NAZI german yang percaya pseudosains, yg tergila2 ama konsep master race dari buku novel ""the coming race"""
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=682"">11:22</a> @arifbrata"
Apakah kadar oksigen di zaman modern seperti sekarang ini menurun? Mengenal tubuh manusia yang semakin kesini semakin kecil..<br><br>Maaf kalau pertanyaannya konyol 😂🙏
"Selain oksigen mungkin juga karena nutrisi, genetik, sama lingkungan"
Oksigen diturunkan oleh pihak luar bumi untuk balancing dan persiapan kehidupan manusia generasi ke empat seperti kita kita ini. Dulunya memang kadar oksigen tinggi sehingga banyak mahluk Gigantic dan berumur ratusan tahun!
"Ga ada manusia semakin mengecil, justru manusia tambah tinggi tiap generasi. Malah manusia jaman dlu jauh lebih kecil2 dri skrng."
"Berarti makhluk paling tua=bakteri/kuman dong, soalnya makhluk bersel tunggal wujudnya kayak bakteri/kuman. Pantes TUHAN menciptakan bakteri/kuman, padahal bakteri/kuman kan berbahaya"
"bakteri itu ga semuanya berbahaya, ada manfaatnya jg<br>contohnya mengurai kotoran<br><br>kalo bakteri gaada, mungkin ini bumi udah dipenuhi sama taik"
"@Rinoarashi-P  iya juga sih jadi apa yang dunia walaupun kita pikir ga berguna tapi sebenarnya ada gunanya contohnya bakteri mungkin tujuan nyamuk diciptakan untuk jadikan makanan kodok,cicak & tokek dll"
"Bakteri sebenarnya diakumulasi dan di enginering oleh salah satu pihak luar bumi, mahluk ras cosmic yang membuat peradaban dibumi dan menaruh bibit semesta sehingga bumi menjadi subur dan hidup karena dulunya bumi kosong dan sunyi.  Tidak semua bakteri itu merugikan, beberapa bakteri di rekaya genetic untuk membuat bahan dasar anatomi tubuh manusia generasi ke empat seperti kita kita ini pada jaman dulu."
​@@babyomegaplusultra6978source: wallmart 💀🙏😭
Gue udah jatuh cinta sama vibe-nya 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 dari pertama buka.
Tiap malem jadi punya hiburan baru bareng P̶U̶L̶A̶U̶W̶I̶N̶.
"Tiap temen nanya tempat seru, gue langsung rekomendasiin P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟."
Gak kerasa waktu cepet banget lewat kalau udah main di 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.
"Awalnya gue mikir itu aplikasi biasa, tapi kok semua orang ngomongin PULAUWIN?"
Banyak cerita seru yang gue mulai dari 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.
"Mainnya santai tapi bikin nagih, itulah P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽."
Santai di rumah tapi feel-nya dapet banget bareng 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉.
Wanjirr Beneran Di Up Dong. 😂❤
Temen kampus gue aja sampe bikin grup bahas 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 doang.
"LANJUTIN LAGI BANG KOII, SANGATT MENARIK"
Up
Up
Up
Ups🤭
😮😮
bang bahas fungi sama lumut bang
Keknya cuman Chanel bang koyo yang ga gua cepetin soalnya ngomongnya cepat kali 😭🙏
"1,25 masih enak dan jelas sih kalo gw."
"@UcillAE1206  hhhe iya kak, kan saya soalnya otak saya kicik😁"
Kan itu audah lewat zaman laut apa belum bang biar lengkap dan juga jangan sampai terlewat bang kan itu ada banyak zaman sebelum dinasaurus
SERU BANGET PLISSSSSS
Lu lagi lu lagi
Ilmuwan dan sejarawan hanya andai2 saja kalo bicara masalalu.<br>Sangat ngibul mereka bisa tahu jutaan th lalu..<br>Penelitian mereka penuh dgn trik dan fantasi
Ngibul dari segi mana?
like biar seneng
Iya deh iyaa
Terus ngapa lu tonton?
Sama kya kena kibulan 1 buku trus percaya manusia dulu setinggi ultraman 😂
Kapan bahas Thailand lagi 😅
"""Ubur ubur ikan lele""<br>Serem leh..😂😂"
capung lebih tua dari dino
Ganggang ini ngaruh sama pembentukan admosfer g yah
"Entah! Kemungkinan besar ngaruh dalam pembentukan unsur"" atmosfer"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1052"">17:32</a> terpantau editor ngantuk😂 ""liputan anak muda korsel lebih pilih rebahan"""
Rebahan Reptile
😁👍
Bang coba bahas Gilgamesh atau King Arthur
Bang bahas objek angkasa lepas namanya gravastar😀
Bang bahas yugoslavia dong awal berdiri sampe runtuhnya 🙏
Saatnya nambah wawasan jangan cuma scroll aja 💪
requestan gw berbulan2 yang lalu akhirnya di bikinin videonya
rorrr
"Pembahasan ini mengingatkan saya di masa SMP ketika baca sejarah perkembangan Bumi, dan juga beberapa di Paleozoikum dan hal-hal lain. Cyannobacteria saya baru ngeh ketika saya kelas 10 SMA, dimana Cyannobacteria adalah bagian setelah Archaebacteria dan Eubacteria. Beberapa sisanya masih saya cari tahu, dan ini agak panjang untuk dijelaskan. Ya kurang lebih begitu"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=265"">4:25</a> Di kampungku banyak Organisme Aerobik. Ibu² yang senam aerobik berevolusi dari mode pengajian ke mode Legging  😅"
"Bukan fenomena langka sich ini, kampungku banyak jg😂"
"Kalo aeoribik ibuk"" di kampungan w sejauh ini nga ada, Adanya senam aerobik sekolahan SD yg saya jumpai hampir di semua sekolahan,  rutinitas tiap pagi menjelang jam masuk"
"Ya...ya....itu betul bang,perut buncit, jdi lgsing.😂😂"
hahahahah biasanya pake legging macan ini
Ngakaaaaak
"Endosimbiosi..<br>Nyerap/makan entitas lain buat dipake dirinya sendiri, tapi entitas lain itu masih utuh di dalam entitas yg makan.<br>Contoh gampangnya buu dari dragon ball.<br>Buu nyerap gohan tapi gohannya masih utuh di dalam tubuhnya buu😅"
"Bang, bahas perang India vs Pakistan dong. Kok bisa India dan Pakistan berperang? Sekalian bahas juga ABSURD MOMEN di perang India vs Pakistan juga, katanya ada warga Pakistan yg ambil puing pesawat ex India 😂"
Bang koi next bahas sejarah penduduk/pribumi asli taiwan yg katanya dri bangsa Austronesia yg ktnya wajahnya mirip sma orang indo dn filipin bkn han chinese 😁🙏🏻
"Karena suku ras austronesia merupakan nenek moyang orang indonesia, mereka merupakan ras yang ahli mengarungi lautan (maritim), berasal dari selatan tiongkok. Bermigrasi karena bencana seperti banjir besar ke tenggara setelah jaman homo sapiens punah! Sebagai informasi tidak semua ras chinese itu berfisik oriental, kalau sering jalan jalan ke tiongkok maka akan menemui muka muka seperti mas mas jawa yang tidak sipit tapi mereka ber ktp asli negara tiongkok. Karena pada dasarnya orang nusantara memiliki darah asia timur, pak Soekarno pun mirip orang taiwan!"
Ahhh seru seruu seruuuu... Dengerin nyambi bikin project
Iya santai banget vibe pembawaannya☕
​@@AgilNobody biar makin santai  ngeteh dulu gak sih 🥃🗿
Abis ujan enak nih bang 😂
Bang bahas india pakistan yang mau perang lumayan celah konten dan uang
"Kalau breaking news biasanya di kumpulkan dulu info validnya, daripada jadi mis-informasi lebih baik tunggu 1-2 minggu dulu"
Lah jadi adam dan hawa hadir di jaman apa?? Trus nabinuh kapan.. jangan2 itu semua...
"Sebenarnya kisah adam hawa hanyalah sebuah cerita, mereka tidak eksis. sama seperti dinosaurus yang karangan dibuat oleh pihak tertentu untuk pro paganda dan tujuan tertentu!"
